=== Log-Likelihood Precision Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.
Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.170 ms
  Std Dev: 6.6193e-02 ms
  Range:   1.140 to 2.914 ms

Backward pass:
  Average: 1.578 ms
  Std Dev: 4.3950e-02 ms
  Range:   1.507 to 1.782 ms

Propagation / Pruning time ratio:
  Average: 2.349321
  Std Dev: 3.0560e-02
  Range:   1.609620 to 2.418979

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
  495      1.181696      1.574528      2.332431
  496      1.157120      1.512448      2.307080
  497      1.152000      1.548288      2.344000
  498      1.153024      1.559424      2.352465
  499      1.164288      1.569568      2.348093
  500      1.173376      1.580032      2.346569
  501      1.160192      1.570816      2.353928
  502      1.191936      1.544928      2.296150
  503      1.150976      1.544064      2.341526
  504      1.164224      1.568448      2.347205
  505      1.153024      1.563040      2.355601
  506      1.155680      1.574912      2.362758
  507      1.152672      1.583104      2.373421
  508      1.139712      1.528832      2.341419
  509      1.160096      1.574848      2.357515
  510      1.146880      1.536000      2.339286
  511      1.163264      1.580000      2.358247
  512      1.159168      1.575840      2.359458
  513      1.143808      1.623040      2.418979
  514      1.154048      1.566720      2.357587
  515      1.162240      1.576192      2.356167
  516      1.168384      1.561120      2.336136
  517      1.155488      1.559552      2.349691
  518      1.158112      1.583808      2.367578
  519      1.157120      1.589184      2.373396
  520      1.148928      1.569792      2.366310
  521      1.144832      1.575840      2.376482
  522      1.160096      1.520640      2.310788
  523      1.146848      1.556480      2.357181
  524      1.153024      1.582080      2.372114
  525      1.154048      1.558528      2.350488
  526      1.174528      1.537024      2.308631
  527      1.153024      1.511488      2.310890
  528      1.169152      1.574912      2.347055
