=== Precision, Memory, and Timing Test ===
Number of trials: 10
Random seed: 42

Loading data...
F81 mu is 1.34314
Loaded: 38 taxa, 73 edges, 6736 patterns
Root probs: [0.287712, 0.191584, 0.245721, 0.274983]
Allocating GPU memory...
  Post order size: 73
  Node edges size: 73
  Root edges: 3
  Allocating basic arrays...
  Allocating pattern bases...
  Allocating upward messages (0.0157353 GB)...
  Allocating upward scales...
  Allocating downward messages...
  Allocating downward scales...
  GPU memory allocation complete.

=== Memory Requirements ===
Shared (tree structure, patterns):  0.000402 GB
Pruning algorithm total:            0.020071 GB
Propagation algorithm total:        0.039740 GB
Additional memory for propagation:  0.019669 GB
Propagation / Pruning memory ratio: 1.9800

Copying data to GPU...
  post_order...
  edge_child...
  edge_parent...
  node_is_leaf (size=74)...
  leaf_taxon (size=74)...
  pattern_bases (size=255968, expect=255968)...
  trans_flat...
  weights...
  root_probs...
  node_nch...
  node_off...
  node_edges...
  root_edges...
Data copy complete.
Running 1000 GPU timing trials...

=== GPU Timing Results (1000 trials) ===
Forward pass (Pruning):
  Average: 1.163 ms
  Std Dev: 4.7816e-02 ms
  Range:   1.139 to 2.349 ms

Backward pass:
  Average: 1.566 ms
  Std Dev: 3.7199e-02 ms
  Range:   1.488 to 1.763 ms

Propagation / Pruning time ratio:
  Average: 2.347797
  Std Dev: 2.7477e-02
  Range:   1.750572 to 2.406526

=== Timing Ratio Distribution ===
Trial     Fwd_ms        Bwd_ms        Ratio
  270      1.200096      1.519616      2.266245
  271      1.166464      1.561216      2.338418
  272      1.150976      1.577792      2.370830
  273      1.164288      1.561600      2.341249
  274      1.190816      1.574720      2.322387
  275      1.155712      1.521408      2.316425
  276      1.152416      1.580672      2.371616
  277      1.183744      1.573568      2.329314
  278      1.155648      1.590272      2.376087
  279      1.152000      1.566720      2.360000
  280      1.160960      1.578752      2.359868
  281      1.153888      1.566304      2.357414
  282      1.153760      1.575808      2.365802
  283      1.159904      1.582080      2.363975
  284      1.159168      1.586144      2.368347
  285      1.154048      1.584128      2.372671
  286      1.144608      1.593056      2.391792
  287      1.164928      1.544192      2.325568
  288      1.158144      1.575936      2.360743
  289      1.154048      1.563648      2.354925
  290      1.148928      1.572608      2.368761
  291      1.157120      1.585152      2.369911
  292      1.158720      1.547904      2.335874
  293      1.160160      1.527744      2.316839
  294      1.152352      1.563200      2.356530
  295      1.155072      1.560576      2.351064
  296      1.160192      1.549920      2.335917
  297      1.157120      1.531488      2.323534
  298      1.157120      1.567488      2.354646
  299      1.156096      1.567488      2.355846
  300      1.164928      1.572864      2.350181
  301      1.160928      1.559232      2.343091
  302      1.155072      1.533952      2.328014
  303      1.150496      1.576960      2.370678
  304      1.151648      1.562624      2.356859
  305      1.157664      1.540960      2.331094
  306      1.153952      1.562624      2.354150
  307      1.162848      1.570688      2.350725
  308      1.159168      1.573152      2.357139
  309      1.158624      1.557504      2.344270
  310      1.147744      1.565440      2.363928
  311      1.147904      1.577920      2.374609
  312      1.158144      1.568768      2.354553
  313      1.143904      1.537920      2.344449
  314      1.154048      1.574912      2.364685
  315      1.146880      1.564384      2.364035
  316      1.146880      1.539840      2.342634
  317      1.155488      1.507936      2.305021
  318      1.154048      1.581056      2.370009
  319      1.166976      1.572800      2.347757
  320      1.155072      1.584928      2.372147
  321      1.158144      1.554144      2.341926
  322      1.159168      1.563648      2.348940
  323      1.155072      1.536480      2.330203
  324      1.164896      1.553408      2.333517
  325      1.161216      1.575936      2.357143
  326      1.148928      1.533952      2.335116
  327      1.157728      1.566464      2.353050
  328      1.147936      1.530592      2.333343
  329      1.148928      1.572000      2.368232
  330      1.159904      1.563648      2.348084
  331      1.154048      1.565696      2.356699
  332      1.144416      1.533952      2.340380
  333      1.150976      1.576992      2.370135
  334      1.149824      1.576704      2.371257
  335      1.152736      1.560576      2.353802
  336      1.161216      1.570816      2.352734
  337      1.156096      1.561440      2.350615
  338      1.153024      1.539776      2.335424
  339      1.146720      1.567744      2.367155
  340      1.148928      1.569792      2.366310
  341      1.154592      1.537024      2.331227
  342      1.146528      1.524704      2.329844
  343      1.154624      1.533984      2.328557
  344      1.147424      1.567744      2.366316
  345      1.170432      1.545216      2.320210
  346      1.152000      1.568768      2.361778
  347      1.156096      1.536000      2.328609
  348      1.159168      1.567744      2.352473
  349      1.159040      1.572768      2.356957
  350      1.149792      1.570816      2.366174
  351      1.154016      1.578752      2.368050
  352      1.147872      1.554336      2.354102
  353      1.148928      1.561600      2.359180
  354      1.158144      1.536000      2.326260
  355      1.151008      1.545088      2.342378
  356      1.155072      1.569792      2.359043
  357      1.145632      1.573888      2.373816
  358      1.145856      1.552928      2.355256
  359      1.156096      1.584128      2.370239
  360      1.155072      1.518592      2.314716
  361      1.148928      1.568768      2.365419
  362      1.149952      1.565696      2.361532
